route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,301,3331090,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,301,3331091,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,301,3331092,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,301,3331093,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,301,3331094,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,301,3331095,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,301,3331096,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,301,3331097,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,301,3331098,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,301,3331099,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,301,3331100,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,301,3331101,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,301,3331102,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,301,3331103,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,301,3331104,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,301,3331105,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,301,3331106,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,301,3331107,CROMWELL STATION,,1,7011,HV_GB,1,1
11693,301,3331108,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,301,3331109,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,301,3331110,CROMWELL STATION,,1,7003,HV_GB,1,1
11693,301,3331111,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,301,3331112,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,301,3331113,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331114,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331115,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,301,3331116,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,301,3331117,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,301,3331118,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,301,3331119,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,301,3331120,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,301,3331121,BWI AIRPORT,,1,7004,HV_BWI,1,1
